Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
zeek,TH,42,1.02,220.5,1,71%,146.4,0.76,0.33,0.07,0.17,36%,29%,2/7,18,32,32,14,3,7
tuyz,LOUD,380,1.02,171.2,0.93,73%,113.2,0.63,0.41,0.04,0.04,30%,17%,9/54,25,238,257,156,16,15
heat,MIBR,45,1.02,250,1.03,67%,164.4,0.82,0.22,0.18,0.22,32%,,0/6,22,37,36,10,8,10
ANGE1,NAVI,182,1.02,204.4,1.07,70%,128.2,0.71,0.33,0.12,0.14,34%,,0/8,27,130,122,60,22,26
Sushiboys,TLN,157,1.01,187.1,1.01,74%,130,0.67,0.2,0.1,0.11,22%,19%,4/21,21,105,104,31,15,17
Monyet,GES,58,1.01,213.7,1.1,69%,140.7,0.78,0.26,0.22,0.14,20%,40%,2/5,24,45,41,15,13,8
vanity,C9,89,1.01,167.8,0.83,75%,102.7,0.55,0.61,0.08,0.09,11%,9%,1/11,14,49,59,54,7,8
takej,DFM,20,1,197,1,60%,120.5,0.65,0.25,0.1,0.05,42%,60%,3/5,13,13,13,5,2,1
Cryocells,100T,175,1,219.3,1.01,71%,137.5,0.75,0.31,0.13,0.18,18%,,0/13,22,131,130,54,23,32
Asuna,100T,175,0.99,200.4,0.87,76%,132,0.67,0.43,0.06,0.1,24%,20%,3/15,20,118,135,76,10,17
bang,100T,175,0.99,200.1,0.98,69%,134.5,0.74,0.34,0.13,0.12,39%,5%,1/21,23,129,131,59,22,21
stax,DRX,276,0.99,194.8,0.97,72%,127.8,0.67,0.37,0.06,0.09,26%,20%,4/20,19,185,191,103,17,24
TenZ,SEN,39,0.98,183.5,0.96,62%,122.4,0.67,0.21,0.13,0.15,23%,50%,3/6,14,26,27,8,5,6
Destrian,VIT,104,0.98,158.8,0.75,71%,101.4,0.5,0.49,0.07,0.12,26%,,0/11,13,52,69,51,7,12
Boostio,EG,89,0.98,205.3,1.07,75%,135.8,0.73,0.16,0.04,0.08,22%,13%,2/15,20,65,61,14,4,7
Fit1nho,GIA,97,0.98,203.4,1.04,71%,140.2,0.74,0.19,0.18,0.14,25%,,0/7,35,72,69,18,17,14
stellar,100T,175,0.97,190.5,1.03,70%,134.4,0.7,0.24,0.06,0.1,20%,13%,3/24,25,123,119,42,10,17
Mazino,LEV,125,0.97,185.7,1,66%,112.8,0.66,0.41,0.07,0.1,30%,25%,2/8,21,82,82,51,9,13
C0M,EG,89,0.97,182.5,0.85,71%,113.3,0.63,0.61,0.07,0.1,13%,13%,1/8,16,56,66,54,6,9
Yuicaw,FPX,59,0.97,189.7,1.05,66%,131.7,0.71,0.12,0.05,0.2,22%,14%,1/7,20,42,40,7,3,12
Jinggg,PRX,38,0.97,204,0.93,68%,156.9,0.71,0.21,0.03,0.08,20%,,0/5,16,27,29,8,1,3
hoody,GIA,97,0.96,189,0.94,72%,135.4,0.63,0.16,0.06,0.08,23%,20%,2/10,17,61,65,16,6,8
QutionerX,BBL,60,0.95,241.3,0.98,63%,149.1,0.85,0.12,0.18,0.2,30%,,0/5,23,51,52,7,11,12
MrFaliN,FUT,107,0.95,200.6,0.82,70%,124.4,0.64,0.4,0.11,0.15,17%,17%,2/12,16,69,84,43,12,16
AtaKaptan,FUT,107,0.95,162.4,0.9,75%,103.9,0.6,0.33,0.05,0.09,31%,25%,3/12,20,64,71,35,5,10
sheydos,KOI,46,0.95,158,1.13,70%,106.9,0.59,0.13,0.04,0.09,24%,17%,1/6,17,27,24,6,2,4
Victor,NRG,184,0.95,182.8,0.84,74%,112.7,0.59,0.39,0.11,0.09,21%,19%,3/16,16,108,128,72,20,17
Crws,TLN,157,0.94,188,0.83,71%,124.6,0.61,0.41,0.11,0.09,23%,17%,2/12,21,96,115,65,17,14
Zest,DRX,276,0.94,170.8,0.95,72%,113.9,0.62,0.26,0.04,0.09,28%,18%,6/34,19,170,179,71,10,24
ScreaM,KC,103,0.93,190,0.92,67%,120.5,0.67,0.33,0.06,0.15,36%,8%,1/12,20,69,75,34,6,15
Mazin,FUR,76,0.93,168,0.86,71%,98.9,0.58,0.39,0.07,0.07,35%,20%,1/5,17,44,51,30,5,5
Meteor,GEN,48,0.93,239,1.05,69%,153.9,0.81,0.21,0.21,0.1,26%,,0/3,24,39,37,10,10,5
rhyme,GIA,97,0.93,163,0.84,72%,112.4,0.59,0.44,0.06,0.16,34%,33%,4/12,17,57,68,43,6,16
Derrek,100T,175,0.92,185.8,0.85,72%,135.3,0.64,0.34,0.07,0.06,31%,7%,2/27,20,112,131,59,12,11
jzz,MIBR,45,0.92,194,0.89,67%,118.6,0.71,0.31,0.07,0.04,28%,,0/7,23,32,36,14,3,2
FNS,NRG,184,0.92,182.9,0.85,74%,120.8,0.6,0.35,0.1,0.08,17%,10%,2/21,23,111,131,64,19,14
nobody,EDG,71,0.92,197,0.94,75%,123.8,0.66,0.38,0.1,0.07,25%,14%,1/7,17,47,50,27,7,5
nzr,LEV,125,0.92,144.5,0.78,73%,98.2,0.49,0.31,0.06,0.03,20%,,0/16,12,61,78,39,7,4
JitBoyS,TLN,157,0.92,186.7,0.93,72%,116.4,0.68,0.36,0.06,0.09,33%,7%,1/15,24,106,114,56,10,14
Newzera,KC,103,0.92,139.2,0.83,73%,93,0.51,0.28,0.06,0.09,43%,38%,5/13,16,53,64,29,6,9
Jamppi,TL,41,0.91,245.5,0.97,71%,148,0.78,0.24,0.17,0.15,14%,50%,1/2,17,32,33,10,7,6
saadhak,LOUD,380,0.9,192.2,0.82,72%,130.2,0.61,0.28,0.11,0.19,21%,25%,5/20,19,230,279,105,42,71
BORKUM,TS,79,0.89,175.5,0.67,62%,109.2,0.53,0.54,0.05,0.11,21%,25%,2/8,14,42,63,43,4,9
fl1pzjder,RRQ,40,0.89,178,0.79,73%,126.5,0.58,0.45,0.18,0.23,20%,14%,1/7,19,23,29,18,7,9
t3xture,GES,58,0.89,206.7,1.02,71%,132.5,0.79,0.07,0.14,0.12,24%,,0/8,23,46,45,4,8,7
xand,KRÃ,41,0.89,179,0.74,66%,120.6,0.61,0.37,0.15,0.17,33%,,0/2,18,25,34,15,6,7
xms,KC,103,0.89,157.8,0.81,67%,108.4,0.54,0.24,0.08,0.05,28%,,0/11,17,56,69,25,8,5
Khalil,FUR,76,0.88,147.7,0.84,71%,92.1,0.54,0.25,0.07,0.04,30%,8%,1/13,21,41,49,19,5,3
SugarZ3ro,ZETA,41,0.88,178,0.8,73%,122.2,0.59,0.39,0.02,0.05,34%,33%,2/6,17,24,30,16,1,2
Quick,FUR,76,0.88,190.7,0.87,64%,124.3,0.63,0.24,0.11,0.12,32%,22%,2/9,19,48,55,18,8,9
Laz,ZETA,41,0.87,171.5,0.92,71%,131.1,0.59,0.15,0.05,0.02,29%,,0/6,18,24,26,6,2,1
xffero,RRQ,40,0.86,182.5,0.93,75%,113.7,0.65,0.25,0.03,0.03,26%,,0/8,16,26,28,10,1,1
AAAAY,FPX,59,0.86,202,0.8,75%,128.8,0.66,0.34,0.02,0.1,31%,,0/5,16,39,49,20,1,6
Redgar,TL,41,0.86,205.5,0.78,68%,132.9,0.61,0.32,0.17,0.17,29%,,0/4,20,25,32,13,7,7
Haodong,EDG,71,0.86,163,0.73,66%,113.1,0.52,0.34,0.08,0.07,26%,,0/7,17,37,51,24,6,5
Lmemore,RRQ,40,0.85,203,0.87,60%,131.4,0.68,0.3,0.13,0.08,34%,,0/2,15,27,31,12,5,3
Brave,BBL,60,0.85,206.3,0.84,73%,132.5,0.68,0.43,0.13,0.1,29%,17%,1/6,17,41,49,26,8,6
pANcada,SEN,39,0.85,198.5,0.93,69%,135.2,0.72,0.21,0.03,0.05,40%,,0/7,17,28,30,8,1,2
Jremy,TS,79,0.85,163,0.78,66%,97,0.59,0.3,0.13,0.1,15%,29%,2/7,19,47,60,24,10,8
RgLMeister,MIBR,45,0.84,174.5,0.72,71%,110.6,0.51,0.62,0.04,0.07,18%,50%,2/4,12,23,32,28,2,3
SouhcNi,BBL,60,0.84,154.3,0.77,67%,102.1,0.55,0.28,0.05,0.12,29%,,0/7,13,33,43,17,3,7
Smoggy,EDG,71,0.84,173.3,0.83,69%,114.1,0.62,0.15,0.07,0.06,31%,14%,2/14,16,44,53,11,5,4
eKo,GEN,48,0.84,158,0.69,69%,105.8,0.5,0.44,0.1,0.15,15%,,0/5,12,24,35,21,5,7
DaveeyS,KRÃ,41,0.84,183.5,0.82,63%,135.6,0.66,0.12,0.12,0.07,26%,50%,2/4,19,27,33,5,5,3
nizhaoTZH,FPX,59,0.83,162.3,0.83,63%,89.4,0.59,0.27,0.07,0.08,23%,18%,2/11,14,35,42,16,4,5
Sayaplayer,T1,20,0.83,196,0.82,70%,136.6,0.7,0,0.25,0.25,50%,,0/1,14,14,17,0,5,5
Dep,ZETA,41,0.83,178.5,0.87,59%,113.5,0.63,0.1,0.1,0.24,34%,,0/3,15,26,30,4,4,10
Turko,BBL,60,0.82,128.7,0.73,70%,94.8,0.5,0.3,0.03,0.08,31%,8%,1/12,20,30,41,18,2,5
AYRIN,GES,58,0.82,184,0.8,57%,112.8,0.62,0.12,0.07,0.07,21%,21%,3/14,15,36,45,7,4,4
BONECOLD,VIT,104,0.81,151.2,0.68,72%,103.3,0.5,0.38,0.07,0.14,25%,,0/5,15,52,77,39,7,15
Secret,GEN,48,0.81,146,0.68,73%,81.3,0.52,0.46,0,0.1,13%,,0/4,13,25,37,22,0,5
Sayf,TL,41,0.79,172.5,0.84,63%,115.2,0.63,0.22,0.07,0.02,26%,,0/6,18,26,31,9,3,1
EJAY,RRQ,16,0.79,189,0.71,69%,127.8,0.63,0.19,0,0.38,25%,,0/1,10,10,14,3,0,6
Reita,DFM,37,0.79,207.5,0.83,57%,137.3,0.68,0.22,0.08,0.22,44%,,0/5,15,25,30,8,3,8
Bazzi,GES,58,0.78,168.7,0.64,74%,102.8,0.52,0.4,0.05,0.03,16%,,0/7,11,30,47,23,3,2
Munchkin,T1,20,0.78,157,0.73,55%,100.6,0.55,0.45,0,0.25,18%,,0/2,11,11,15,9,0,5
berLIN,FPX,59,0.78,182,0.72,76%,122.8,0.58,0.39,0.12,0.19,28%,33%,1/3,17,34,47,23,7,11
